STIPCategoryCode,SerieCode,IndicatorLabel,SDMXqueries,Location,STIPCategoryLabel,YEAR
TH58,PCTBUILD_NB,"PCT patents, climate change mitigation technologies related to buildings, number",PATS_IPC/PCT_A.APPLICANTS..BUILD.PRIORITY/all,Country,Research and innovation for society|Research and innovation for society strategy,
TH58,IP5ENV_NB,"IP5 Patent families, Environment related technology, number",PATS_IPC/IP5.APPLICANTS..ENV_TECH.PRIORITY/all,Country,Research and innovation for society|Research and innovation for society strategy,
TH58,IP5MAN_NB,"IP5 Patent families, Environmental management, number",PATS_IPC/IP5.APPLICANTS..MAN.PRIORITY/all,Country,Research and innovation for society|Research and innovation for society strategy,
TH58,IP5GHG_NB,"IP5 Patent families, capture, storage, sequestration or disposal of greenhouse gases, number",PATS_IPC/IP5.APPLICANTS..GHG.PRIORITY/all,Country,Research and innovation for society|Research and innovation for society strategy,
TH58,IP5ENE_NB,"IP5 Patent families, climate change mitigation technologies related to energy generation, transmission or distribution, number",PATS_IPC/IP5.APPLICANTS..ENE.PRIORITY/all,Country,Research and innovation for society|Research and innovation for society strategy,
TH58,IP5BUILD_NB,"IP5 Patent families, climate change mitigation technologies related to buildings, number",PATS_IPC/IP5.APPLICANTS..BUILD.PRIORITY/all,Country,Research and innovation for society|Research and innovation for society strategy,
TG9,TP_RS,Total researchers in FTE,MSTI_PUB/TP_RS./all,COU,"Researchers, students and teachers|Established researchers",
TG9,TH_RS,Total researchers in headcount,MSTI_PUB/TH_RS./all,COU,"Researchers, students and teachers|Established researchers",
TG9,TP_RSXEM,Total researchers (in FTE) per thousand total employment,MSTI_PUB/TP_RSXEM./all,COU,"Researchers, students and teachers|Established researchers",
TG12,PHDENR_NB,Number of students enrolled in doctoral or equivalent level,EDU_ENRL_AGE/._T._T._T.ISCED11_8/all,COUNTRY,"Researchers, students and teachers|PhD students",
TG12,PHDGRAD_NB,Number of students first time graduate in doctoral or equivalent level,EDU_GRAD_AGE/._T._T.ISCED11_8.FGRAD_LEV._T/all,COUNTRY,"Researchers, students and teachers|PhD students",
TG12,ADPHDPOP_XT,"Adult population with a doctorate, % 25-65 years old",EAG_NEAC/.L8.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,"Researchers, students and teachers|PhD students",
TG38,ADUPSECPOP_XT,"Adult population with upper secondary or post secondary not tertiary level education level, % 25-65 years old",EAG_NEAC/.L3T4.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,"Researchers, students and teachers|Secondary education students",
TG38,ADBELOSECPOP_XT,"Adult population with below secondary  level, % 25-65 years old",EAG_NEAC/.L0T2.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,"Researchers, students and teachers|Secondary education students",
TG38,SECENR_NB,Number of students enrolled in upper secondary education,EDU_ENRL_AGE/._T._T._T.ISCED11_3/all,COUNTRY,"Researchers, students and teachers|Secondary education students",
TG13,STUTEA_X,Ratio of students to teaching staff at tertiary level,EAG_PERS_RATIO/.L5T8.INST_T.PERS_RATIO_INST/all,COUNTRY,"Researchers, students and teachers|Teachers",
TG13,AVGSIZECLASS_X,Average class size at tertiary level,EAG_PERS_RATIO/.L5T8.INST_T.PERS_AVG_CLASS/all,COUNTRY,"Researchers, students and teachers|Teachers",
TG10,ADTERPOP_XT,"Adult population with tertiary education level, % 25-65 years old",EAG_NEAC/.L5T8.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TG10,ADUPSECPOP_XT,"Adult population with upper secondary or post secondary not tertiary level education level, % 25-65 years old",EAG_NEAC/.L3T4.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TG10,ADBELOSECPOP_XT,"Adult population with below secondary  level, % 25-65 years old",EAG_NEAC/.L0T2.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TG10,TERENR_NB,Number of students enrolled in tertiary education,EDU_ENRL_AGE/._T._T._T.ISCED11_5T8/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TG10,BACENR_NB,Number of students enrolled in bachelor or equivalent level,EDU_ENRL_AGE/._T._T._T.ISCED11_6/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TG10,MASENR_NB,Number of students enrolled in master or equivalent level,EDU_ENRL_AGE/._T._T._T.ISCED11_7/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TG10,PHDENR_NB,Number of students enrolled in doctoral or equivalent level,EDU_ENRL_AGE/._T._T._T.ISCED11_8/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TG10,BACGRAD_NB,Number of students first time graduate in bachelor or equivalent level,EDU_GRAD_AGE/._T._T.ISCED11_6.FGRAD_LEV._T/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TG10,MASGRAD_NB,Number of students first time graduate in master or equivalent level,EDU_GRAD_AGE/._T._T.ISCED11_7.FGRAD_LEV._T/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TG10,PHDGRAD_NB,Number of students first time graduate in doctoral or equivalent level,EDU_GRAD_AGE/._T._T.ISCED11_8.FGRAD_LEV._T/all,COUNTRY,"Researchers, students and teachers|Undergraduate and master students",
TH41,H_XFB,HERD financed by the business enterprise sector as a percentage of total HERD,MSTI_PUB/H_XFB./all,COU,Science-industry knowledge transfer and sharing|Transfer and linkages strategies,
TH41,H_FB,"HERD financed by the business enterprise sector in national currency, million ",GERD_SOF/.HES.BES.MIO_NAC/all,COUNTRY,Science-industry knowledge transfer and sharing|Transfer and linkages strategies,
TH41,H_FBPPP,"HERD financed by the business enterprise sector in current USD PPP, million",GERD_SOF/.HES.BES.DC6/all,COUNTRY,Science-industry knowledge transfer and sharing|Transfer and linkages strategies,
TH41,H_FBCT,"HERD financed by the business enterprise sector in constant USD PPP, million",GERD_SOF/.HES.BES.DF6/all,COUNTRY,Science-industry knowledge transfer and sharing|Transfer and linkages strategies,
TH41,GV_FB,"GOVERD financed by the business enterprise sector in national currency, million ",GERD_SOF/.GOV.BES.MIO_NAC/all,COUNTRY,Science-industry knowledge transfer and sharing|Transfer and linkages strategies,
TH41,GV_FBPPP,"GOVERD financed by the business enterprise sector in current USD PPP, million",GERD_SOF/.GOV.BES.DC6/all,COUNTRY,Science-industry knowledge transfer and sharing|Transfer and linkages strategies,
TH41,GV_FBCT,"GOVERD financed by the business enterprise sector in constant USD PPP, million",GERD_SOF/.GOV.BES.DF6/all,COUNTRY,Science-industry knowledge transfer and sharing|Transfer and linkages strategies,
TG14,TH_WRXRS,Percentage of women among researchers (based on headcount),MSTI_PUB/TH_WRXRS./all,COU,Social groups especially emphasised|Women,
TG14,WEMP_NB,"Employment, women, thousand",ALFS_SUMTAB/.YGFE08L1_ST./all,LOCATION,Social groups especially emphasised|Women,
TG14,WEMP_NSE_XT,"Employment rate of women, 25-64 years, with a tertiary education in natural sicences mathematics and statistics",EAG_NEAC/.L5T8.F.Y25T64.F05.VALUE.NEAC_RATE_EMPLOYMENT/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WEMP_ICT_XT,"Employment rate of women, 25-64 years, tertiary education, ICT",EAG_NEAC/.L5T8.F.Y25T64.F06.VALUE.NEAC_RATE_EMPLOYMENT/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WEMP_ENG_XT,"Employment rate of women, 25-64 years, tertiary education, engineering, manufacturing and construction",EAG_NEAC/.L5T8.F.Y25T64.F07.VALUE.NEAC_RATE_EMPLOYMENT/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WEMP_X1564F,"Employment rate, women, % women in working-age population",ALFS_SUMTAB/.YGFE08PE_ST./all,LOCATION,Social groups especially emphasised|Women,
TG14,WTER_XT,"New entrants to tertiary education that are women, % total new entrants in tertiary education",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T._T/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WTER_GRAD_XT,"Women graduates to tertiary education, % total graduates in tertiary education",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T._T/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WPHDENR_XT,"New entrants to doctorate that are women, % total new entrants in doctorate level",EAG_GRAD_ENTR_SHARE/.ENTR_SHARE_GENDER.ISCED11_8.INST_T.NENT_LEV.F._T._T/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WPHDGRAD_XT,"Women graduates to doctorate level, % total graduates in doctorate level",EAG_GRAD_ENTR_SHARE/.GRAD_SHARE_GENDER.ISCED11_8.INST_T.FGRAD_LEV.F._T._T/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WTERENR_NSE_XNSE,"Women new entrants to tertiary education in natural sciences, mathematics and statistics, % total new entrants in natural sciences, mathematics and statistics",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F05/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WTERENR_ICT_XICT,"Women new entrants to tertiary education in ICT, % total new entrants in ICT",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F06/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WTERENR_ENG_XENG,"Women new entrants to tertiary education in engineering manufacturing and construction, % total new entrants in engineering manufacturing and construction",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F07/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WTERGRAD_NSE_XT,"Women graduates to tertiary education in natural sciences, mathematics and statistics, % total graduates  in natural sciences, mathematics and statistics",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F05/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WTERGRAD_ICT_XT,"Women graduates to tertiary education in information and communication technologies, % total graduates in information and communication technologies",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F06/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WTERGRAD_ENG_XT,"Women graduates to tertiary education in engineering, manufacturing and construction, % total graduates in engineering, manufacturing and construction",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F07/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WPHDENR_NSE_XNSE,"Women PHDs new entrants in natural sciences, mathematics and statistics, % total new entrants in doctorates in natural sciences, mathematics and statistics",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F05/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WPHDENR_ICT_XICT,"Women new entrants to doctorate in information and communication technologies, % total new entrants in doctorate information and communication technologies",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F06/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WPHDENR_ENG_XENG,"Women new entrants to doctorate in engineering, manufacturing and construction, % total new entrants in engineering, manufacturing and construction",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F07/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WPHDGRAD_NSE_XT,"Women graduates to doctorate in natural sciences, mathematics and statistics, % total graduates  in natural sciences, mathematics and statistics",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F05/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WPHDGRAD_ICT_XT,"Women graduates to doctorate in information and communication technologies, % total graduates in information and communication technologies",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F06/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WPHDGRAD_ENG_XT,"Women graduates to doctorate in engineering, manufacturing and construction, % total graduates in engineering, manufacturing and construction",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F07/all,COUNTRY,Social groups especially emphasised|Women,
TG14,WEMPLYER,Share of employed who are employers women %,GENDER_ENT1/.ENT1.WOMEN.TOTAL/all,LOCATION,Social groups especially emphasised|Women,
TG14,GENDERGAP,Gender gap in self employed earning,GENDER_ENT1/.ENT7.ALL.TOTAL/all,LOCATION,Social groups especially emphasised|Women,
TG14,OWNACC,Share of employed who are own-account workers,GENDER_ENT1/.ENT2.WOMEN.TOTAL/all,LOCATION,Social groups especially emphasised|Women,
TG14,WINV,Share of women inventors in the total number of inventors,GENDER_ENT1/.ENT4.WOMEN.TOTAL/all,LOCATION,Social groups especially emphasised|Women,
TG14,WSLFEMPTER,Share of self-employed in the population of employed with tertiary education,GENDER_ENT1/.SELF_TERTIARY_EDU.WOMEN.TOTAL/all,LOCATION,Social groups especially emphasised|Women,
